Spelling, nchar, LogFreq_Zipf, DomPoS,,,
0, , , ,,,
0, , , ,,,
bacton,6,1.6, name,,,
bactria,7,1.3, name,,,
bactrian,8,2.62, adjective,,,
bactrians,9,1.47, name,,,
bacup,5,2.09, name,,,
bad,3,5.56, adjective,,,
bada,4,2.69, noun,,,
badabing,8,1.39, verb,,,
badaboom,8,1.17, noun,,,
badajoz,7,1.17, name,,,
badakhshan,10,1.39, adjective,,,
badam,5,1.47, name,,,
badap,5,1.6, noun,,,
badar,5,1.87, name,,,
badass,6,1.93, noun,,,
badat,5,1.17, name,,,
badauds,7,1.17, noun,,,
badawi,6,2.25, name,,,
badby,5,1.3, name,,,
badcock,7,1.6, name,,,
badda,5,2.13, noun,,,
baddeley,8,2.94, name,,,
badder,6,2.28, noun,,,
baddesley,9,1.39, name,,,
baddest,7,2.71, adjective,,,
baddie,6,3, noun,,,
baddiel,7,2.6, name,,,
baddies,7,2.89, noun,,,
baddow,6,1.77, name,,,
baddus,6,1.17, noun,,,
baddy,5,2.43, noun,,,
bade,4,2.29, verb,,,
baden,5,3.01, name,,,
badenoch,8,2.11, name,,,
bader,5,2.42, name,,,
badfinger,9,1.6, name,,,
badge,5,4.06, noun,,,
badged,6,1.87, verb,,,
badger,6,3.97, noun,,,
badgered,8,2.16, verb,,,
badgering,9,2.37, verb,,,
badgers,7,3.86, noun,,,
badgery,7,1.17, adjective,,,
badges,6,3.58, noun,,,
badgeworth,10,2, name,,,
badging,7,1.17, verb,,,
badie,5,1.17, noun,,,
badies,6,1.3, noun,,,
badinage,8,1.54, noun,,,
badinerie,9,1.39, name,,,
bading,6,1.54, verb,,,
badlands,8,2.41, name,,,
badley,6,1.3, name,,,
badly,5,4.63, adverb,,,
badman,6,1.77, name,,,
badmind,7,1.17, verb,,,
badminton,9,3.4, noun,,,
badmoods,8,1.39, name,,,
badmouth,8,1.39, adjective,,,
badmouthing,11,1.47, verb,,,
badness,7,2.5, noun,,,
badoing,7,1.3, verb,,,
badoo,5,1.3, unclassified,,,
badoom,6,1.3, name,,,
badr,4,1.74, name,,,
badrul,6,2.38, name,,,
bads,4,1.74, noun,,,
badu,4,1.17, name,,,
badum,5,1.6, noun,,,
bady,4,1.54, adjective,,,
bae,3,3.31, name,,,
baec,4,1.39, noun,,,
baeck,5,1.3, name,,,
baeckeoffe,10,1.6, name,,,
baedeker,8,2.58, name,,,
baedekers,9,1.54, name,,,
baekeland,9,2.36, name,,,
bael,4,1.54, name,,,
baen,4,1.17, verb,,,
baer,4,1.6, name,,,
baest,5,1.3, verb,,,
baez,4,2, name,,,
baeza,5,1.17, name,,,
baf,3,1.81, noun,,,
bafana,6,2.11, name,,,
baff,4,1.84, noun,,,
baffin,6,1.93, name,,,
baffle,6,2.6, verb,,,
baffled,7,3.33, verb,,,
bafflement,10,1.93, noun,,,
baffles,7,2.5, verb,,,
baffling,8,3.17, verb,,,
bafflingly,10,1.81, adverb,,,
bafokeng,8,1.39, name,,,
baft,4,1.17, noun,,,
bafta,5,3.54, name,,,
baftas,6,3, noun,,,
bag,3,4.89, noun,,,
baga,4,1.54, name,,,
bagai,5,1.7, name,,,
bagasse,7,1.17, adjective,,,
bagatelle,9,2.44, noun,,,
bagayoko,8,1.17, name,,,
bagborough,10,1.17, name,,,
bagby,5,2.04, name,,,
bage,4,1.54, name,,,
bagehot,7,1.6, name,,,
bagel,5,2.8, noun,,,
bagels,6,2.84, noun,,,
bagful,6,2.11, noun,,,
bagfuls,7,1.65, noun,,,
bagg,4,1.17, name,,,
bagga,5,2.93, name,,,
baggage,7,3.49, noun,,,
baggaley,8,1.7, name,,,
bagged,6,3.48, verb,,,
bagger,6,2.09, name,,,
baggers,7,2.36, name,,,
baggett,7,1.54, name,,,
baggie,6,1.74, noun,,,
baggier,7,1.3, noun,,,
baggies,7,2.64, name,,,
baggiest,8,1.17, adjective,,,
baggin,6,1.17, verb,,,
bagginess,9,1.17, noun,,,
bagging,7,3.22, verb,,,
baggini,7,1.3, name,,,
baggins,7,2.35, name,,,
baggio,6,1.9, name,,,
baggot,6,1.6, name,,,
baggott,7,2.77, name,,,
baggs,5,2.47, name,,,
baggsy,6,1.39, verb,,,
baggy,5,3.17, adjective,,,
bagh,4,1.54, name,,,
baghdad,7,3.5, name,,,
baghdadi,8,1.54, name,,,
baghdatis,9,1.74, name,,,
baghee,6,1.9, name,,,
bagheera,8,3.06, name,,,
bagillt,7,1.17, name,,,
baginbun,8,1.3, name,,,
bagis,5,1.39, name,,,
baglan,6,1.81, name,,,
bagless,7,1.74, adjective,,,
bagley,6,2.53, name,,,
bagleys,7,2.17, name,,,
bagman,6,1.65, noun,,,
bagna,5,1.39, noun,,,
bagnall,7,2.36, name,,,
bagnell,7,1.6, name,,,
bago,4,1.3, name,,,
bagot,5,1.93, name,,,
bagpipe,7,2.51, noun,,,
bagpiper,8,1.93, noun,,,
bagpipers,9,1.3, noun,,,
bagpipes,8,3.16, noun,,,
bagpiping,9,1.3, verb,,,
bagpuize,8,1.7, name,,,
bagpuss,7,2.67, name,,,
bagram,6,2.16, name,,,
bags,4,4.45, noun,,,
bagshaw,7,1.97, name,,,
bagshawe,8,2.06, name,,,
bagshot,7,1.6, name,,,
bagsie,6,1.9, name,,,
bagsied,7,1.81, verb,,,
bagsies,7,1.17, noun,,,
bagsy,5,2.54, name,,,
bagsying,8,1.3, verb,,,
baguette,8,3.05, noun,,,
baguettes,9,2.58, noun,,,
baguley,7,1.7, name,,,
bagust,6,1.17, name,,,
bagwell,7,1.54, name,,,
bagy,4,1.17, adjective,,,
bah,3,3.71, noun,,,
baha,4,2.24, name,,,
baha'i,6,1.81, name,,,
bahadur,7,1.17, name,,,
baham,5,1.3, name,,,
bahama,6,1.17, name,,,
bahamas,7,3.12, name,,,
bahamian,8,1.47, name,,,
bahar,5,1.3, noun,,,
baharat,7,1.3, name,,,
bahari,6,1.3, name,,,
bahati,6,1.87, name,,,
bahgit,6,1.17, name,,,
bahia,5,1.84, name,,,
bahl,4,1.87, name,,,
bahman,6,1.3, name,,,
bahn,4,1.84, name,,,
bahnhof,7,1.39, name,,,
bahookie,8,1.54, noun,,,
bahrain,7,3.73, name,,,
bahraini,8,2.59, name,,,
bahrainian,10,1.39, adjective,,,
bahrainis,9,1.81, name,,,
bahrami,7,1.6, name,,,
bahri,5,1.87, name,,,
bahs,4,1.17, noun,,,
baht,4,2.5, noun,,,
bai,3,2.7, name,,,
baia,4,1.17, name,,,
baiba,5,1.93, name,,,
baida,5,1.39, name,,,
baidoa,6,1.7, name,,,
baidu,5,1.54, name,,,
baidwan,7,1.47, name,,,
baif,4,1.17, noun,,,
baig,4,1.9, name,,,
baigent,7,1.54, name,,,
baiji,5,1.3, name,,,
baik,4,1.17, unclassified,,,
baikal,6,2.02, name,,,
baikonur,8,1.65, name,,,
bail,4,4.33, noun,,,
bail-out,8,3.75, noun,,,
baila,5,2.08, noun,,,
bailamos,8,1.17, noun,,,
bailar,6,2.06, unclassified,,,
baildon,7,1.7, name,,,
baile,5,1.6, name,,,
bailed,6,3.52, verb,,,
bailee,6,1.6, name,,,
bailer,6,1.6, noun,,,
bailes,6,1.17, name,,,
bailey,6,3.92, name,,,
baileys,7,2.49, name,,,
bailhache,9,1.39, name,,,
bailie,6,2.17, name,,,
bailiff,7,2.85, noun,,,
bailiffs,8,3.36, noun,,,
bailing,7,3.22, verb,,,
bailiwick,9,1.65, noun,,,
baillie,7,2.9, name,,,
bailly,6,1.3, name,,,
bailout,7,3.5, noun,,,
bailouts,8,2.52, noun,,,
bails,5,2.47, noun,,,
baily,5,1.3, name,,,
baiman,6,1.65, name,,,
baims,5,1.17, verb,,,
bain,4,3.17, name,,,
bainbridge,10,2.65, name,,,
bainbridges,11,1.54, name,,,
baines,6,2.72, name,,,
baing,5,1.17, verb,,,
bainne,6,1.17, noun,,,
bains,5,2.44, name,,,
baio,4,1.47, name,,,
bair,4,1.54, noun,,,
bairbre,7,1.84, name,,,
baird,5,2.96, name,,,
bairn,5,2.67, noun,,,
bairnie,7,1.17, unclassified,,,
bairns,6,2.64, noun,,,
bairnsfather,12,1.9, name,,,
bairstow,8,2.2, name,,,
bais,4,1.9, name,,,
baiser,6,1.54, noun,,,
baisers,7,1.17, noun,,,
baissac,7,2.06, name,,,
baisse,6,1.17, unclassified,,,
bait,4,3.7, noun,,,
baited,6,2.65, verb,,,
baiter,6,1.39, noun,,,
baiters,7,1.77, noun,,,
baitfish,8,1.65, noun,,,
baith,5,1.84, noun,,,
baitieri,8,1.81, name,,,
baiting,7,2.82, noun,,,
baitman,7,1.6, name,,,
baits,5,2, noun,,,
baiul,5,1.17, name,,,
baize,5,2.68, noun,,,
baja,4,2.53, name,,,
bajan,5,2.3, name,,,
bajau,5,1.65, name,,,
bajaur,6,1.47, name,,,
baji,4,1.47, noun,,,
bajillion,9,1.47, noun,,,
bajo,4,1.3, name,,,
bajun,5,1.17, adjective,,,
bajwa,5,1.54, name,,,
bak,3,2.2, name,,,
baka,4,2.39, name,,,
bakar,5,1.65, name,,,
bakara,6,1.3, name,,,
bakayogo,8,1.17, name,,,
bake,4,4.22, verb,,,
bakeation,9,2.11, name,,,
baked,5,4.15, adjective,,,
bakehouse,9,1.7, noun,,,
bakelite,8,3.13, name,,,
baken,5,1.17, adjective,,,
baker,5,4.2, name,,,
bakeries,8,2.67, noun,,,
bakerloo,8,2.14, name,,,
bakers,6,3.87, noun,,,
bakersfield,11,2.4, name,,,
bakery,6,3.66, noun,,,
baker\/mitch,12,1.17, name,,,
bakes,5,3.12, verb,,,
bakesically,11,1.17, name,,,
bakewell,8,3.26, name,,,
bakewells,9,1.74, name,,,
bakey,5,1.39, name,,,
bakht,5,1.3, name,,,
bakin,5,1.17, verb,,,
baking,6,4.22, noun,,,
bakithi,7,1.39, name,,,
bakiyev,7,1.47, name,,,
bakka,5,1.87, unclassified,,,
bakkavor,8,1.6, name,,,
bakke,5,1.17, name,,,
bakken,6,1.3, name,,,
bakker,6,1.39, name,,,
bakkies,7,1.65, name,,,
baklava,7,2.31, noun,,,
bakoff,6,1.39, noun,,,
bakr,4,1.77, name,,,
bakri,5,1.6, name,,,
baksh,5,1.65, name,,,
baksheesh,9,1.17, noun,,,
bakshi,6,1.54, name,,,
bakst,5,1.74, name,,,
baku,4,2.64, name,,,
bakula,6,1.39, name,,,
bal,3,2.61, name,,,
bala,4,2.82, name,,,
balaam,6,2.02, name,,,
balaclava,9,2.86, noun,,,
balaclavas,10,2.59, noun,,,
balado,6,1.6, name,,,
balaguer,8,1.17, name,,,
balaji,6,1.17, name,,,
balakirev,9,1.81, name,,,
balaklava,9,1.9, name,,,
balalaika,9,2.04, noun,,,
balalaikas,10,1.17, noun,,,
balamory,8,3.51, name,,,
balance,7,4.73, noun,,,
balanced,8,4.03, adjective,,,
balanceed,9,1.3, noun,,,
balanceing,10,1.17, verb,,,
balancer,8,1.54, noun,,,
balances,8,3.33, noun,,,
balanchine,10,2.06, name,,,
balancing,9,3.72, verb,,,
balanta,7,1.54, name,,,
balapan,7,1.84, name,,,
balasinor,9,2.02, name,,,
balaton,7,1.54, name,,,
balawi,6,1.74, name,,,
balazs,6,1.17, name,,,
balbirnie,9,1.84, name,,,
balbo,5,1.17, name,,,
balboa,6,2.4, name,,,
balboni,7,2.17, name,,,
balbriggan,10,1.95, name,,,
balco,5,1.17, name,,,
balcombe,8,2.28, name,,,
balcon,6,1.93, name,,,
balconette,10,1.39, noun,,,
balconied,9,1.17, adjective,,,
balconies,9,2.73, noun,,,
balcony,7,3.83, noun,,,
bald,4,3.72, adjective,,,
baldacchino,11,1.3, noun,,,
baldacci,8,1.39, name,,,
baldachin,9,1.39, noun,,,
balde,5,1.47, name,,,
balder,6,1.65, noun,,,
balderdash,10,2.26, noun,,,
balders,7,1.3, name,,,
baldersdale,11,1.17, name,,,
balderstone,11,1.17, name,,,
baldest,7,1.39, adjective,,,
baldie,6,1.81, noun,,,
baldies,7,1.84, noun,,,
baldilocks,10,1.3, noun,,,
balding,7,3.07, name,,,
baldings,8,1.17, name,,,
baldini,7,2.57, name,,,
baldivis,8,1.39, name,,,
baldly,6,1.84, adverb,,,
baldness,8,2.57, noun,,,
baldo,5,1.3, noun,,,
baldock,7,2.69, name,,,
baldr,5,1.17, name,,,
baldred,7,1.3, name,,,
baldrick,8,2.54, name,,,
baldry,6,2, name,,,
balds,5,1.3, noun,,,
baldwin,7,3.29, name,,,
baldwins,8,1.65, name,,,
baldy,5,2.94, adjective,,,
bale,4,3.49, name,,,
balearic,8,2.2, adjective,,,
balearics,9,1.97, name,,,
baled,5,2.08, verb,,,
baleen,6,2.3, noun,,,
baleful,7,1.6, adjective,,,
balen,5,1.81, name,,,
balenciaga,10,1.6, name,,,
baler,5,2.04, noun,,,
balerno,7,1.54, name,,,
bales,5,3.16, noun,,,
balfe,5,1.74, name,,,
balfour,7,2.58, name,,,
balfron,7,1.6, name,,,
balgonie,8,1.3, name,,,
balham,6,2.75, name,,,
balhousie,9,1.17, name,,,
bali,4,3.13, name,,,
balin,5,1.3, name,,,
balinese,8,2.26, adjective,,,
baling,6,2.17, verb,,,
baliszewski,11,1.17, name,,,
baliutaviciene,14,1.3, name,,,
baljit,6,1.87, name,,,
balk,4,2.35, verb,,,
balka,5,1.17, name,,,
balkan,6,2.64, name,,,
balkans,7,3.04, name,,,
balked,6,2.04, verb,,,
balkenende,10,1.39, name,,,
balking,7,1.47, verb,,,
balks,5,1.17, verb,,,
balkwell,8,1.7, name,,,
ball,4,5.33, noun,,,
balla,5,1.84, name,,,
ballabriggs,11,2.76, name,,,
ballabungie,11,1.3, name,,,
ballack,7,2.02, name,,,
ballad,6,3.29, noun,,,
ballade,7,1.65, name,,,
balladeer,9,1.9, noun,,,
balladeers,10,1.47, noun,,,
balladry,8,1.54, noun,,,
ballads,7,3.07, noun,,,
balladur,8,1.3, name,,,
ballan,6,1.6, adjective,,,
ballance,8,1.3, name,,,
ballantine,10,2.47, name,,,
ballantrae,10,1.47, name,,,
ballantyne,10,1.95, name,,,
ballarat,8,1.7, name,,,
ballard,7,2.77, name,,,
ballardian,10,1.17, adjective,,,
ballards,8,1.6, noun,,,
ballare,7,1.39, noun,,,
ballas,6,1.6, name,,,
ballast,7,2.94, noun,,,
ballasted,9,1.17, verb,,,
ballasteros,11,1.17, name,,,
ballater,8,1.84, name,,,
ballatine,9,1.39, adjective,,,
ballbag,7,1.81, noun,,,
ballbags,8,1.17, noun,,,
ballbearings,12,1.3, noun,,,
ballboy,7,1.65, noun,,,
ballboys,8,1.3, noun,,,
ballcock,8,1.7, noun,,,
balle,5,1.39, unclassified,,,
balled,6,2.04, verb,,,
ballee,6,1.47, name,,,
baller,6,2.02, noun,,,
ballerina,9,3.21, noun,,,
ballerinas,10,2.61, noun,,,
ballers,7,2.04, name,,,
ballerup,8,1.54, name,,,
balles,6,1.17, unclassified,,,
ballesteros,11,2.82, name,,,
ballet,6,4.14, noun,,,
balletboyz,10,1.54, name,,,
balletic,8,2.31, adjective,,,
ballets,7,2.84, noun,,,
ballettes,9,1.39, noun,,,
ballgame,8,2.02, noun,,,
ballgown,8,1.84, noun,,,
ballgowns,9,1.39, noun,,,
balli,5,1.17, noun,,,
ballie,6,1.3, noun,,,
ballin,6,1.74, name,,,
ballinamallard,14,1.93, name,,,
ballindalloch,13,1.7, name,,,
ballinderry,11,2.17, name,,,
balling,7,2.52, noun,,,
ballingall,10,1.47, name,,,
ballinger,9,1.47, name,,,
ballingham,10,1.3, name,,,
ballintoy,9,1.39, name,,,
balliol,7,2.81, name,,,
ballista,8,2.91, name,,,
ballistic,9,3.12, adjective,,,
ballistically,13,1.17, adverb,,,
ballistics,10,2.39, noun,,,
ballly,6,1.3, adverb,,,
ballmer,7,1.74, name,,,
balloch,7,1.65, name,,,
ballon,6,1.95, name,,,
balloo,6,1.54, name,,,
balloon,7,4.25, noun,,,
balloonatic,11,1.17, noun,,,
ballooned,9,2.52, verb,,,
ballooning,10,2.87, noun,,,
balloonist,10,1.81, noun,,,
balloonists,11,1.9, noun,,,
balloons,8,3.88, noun,,,
balloony,8,1.74, noun,,,
ballot,6,3.94, noun,,,
balloted,8,2.58, verb,,,
ballotine,9,2.71, noun,,,
ballotines,10,1.87, noun,,,
balloting,9,2.37, noun,,,
ballots,7,2.97, noun,,,
ballou,6,1.17, name,,,
ballpark,8,3.07, noun,,,
ballplayer,10,1.3, noun,,,
ballplayers,11,1.17, noun,,,
ballpoint,9,2.38, noun,,,
ballpoints,10,1.3, noun,,,
ballroom,8,3.93, noun,,,
ballrooms,9,2.28, noun,,,
balls,5,4.77, noun,,,
ballsed,7,2.08, verb,,,
ballsing,8,1.39, verb,,,
ballss,6,1.17, noun,,,
ballsy,6,2.46, adjective,,,
ballty,6,1.3, noun,,,
bally,5,2.64, name,,,
ballybeg,8,1.9, name,,,
ballybofey,10,1.54, name,,,
ballybrittas,12,1.54, name,,,
ballycarry,10,1.74, name,,,
ballycastle,11,2.39, name,,,
ballyclare,10,2.97, name,,,
ballydoyle,10,2.26, name,,,
ballyduff,9,1.17, name,,,
ballyfermot,11,2.47, name,,,
ballyfitz,9,2.17, name,,,
ballygawley,11,1.6, name,,,
ballygomartin,13,1.39, name,,,
ballygowan,10,1.39, name,,,
ballyhalbert,12,1.3, name,,,
ballyholme,10,1.93, name,,,
ballyhoo,8,1.6, noun,,,
ballyhooey,10,1.3, noun,,,
ballykelly,10,2.17, name,,,
ballykissangel,14,1.6, name,,,
ballymagarry,12,1.17, name,,,
ballymaloe,10,1.47, name,,,
ballymartin,11,1.17, name,,,
ballymena,9,3.25, name,,,
ballymoney,10,2.58, name,,,
ballymun,8,1.47, name,,,
ballymurphy,11,2.11, name,,,
ballynahinch,12,2.08, name,,,
ballyregan,10,1.54, adjective,,,
ballyronan,10,1.54, name,,,
ballysally,10,2.09, name,,,
ballysillan,11,1.93, name,,,
ballyvesey,10,1.97, name,,,
ballywalter,11,1.87, name,,,
balm,4,2.79, noun,,,
balma,5,1.17, noun,,,
balmaha,7,1.17, name,,,
balmain,7,1.47, name,,,
balmedie,8,1.54, name,,,
balmer,6,1.3, name,,,
balmond,7,1.54, name,,,
balmoral,8,3.41, name,,,
balmorality,11,1.87, name,,,
balmore,7,1.47, name,,,
balms,5,1.95, noun,,,
balmy,5,2.65, adjective,,,
balnamore,9,1.17, name,,,
baloch,6,1.3, name,,,
balochistan,11,1.17, name,,,
balogh,6,1.17, name,,,
balogun,7,1.74, name,,,
balon,5,1.17, name,,,
baloney,7,2.65, noun,,,
balonne,7,1.17, name,,,
baloo,5,3.38, name,,,
balor,5,1.3, name,,,
balotelli,9,3.16, name,,,
balou,5,1.65, name,,,
balowski,8,1.3, name,,,
balpa,5,1.7, name,,,
balquhidder,11,1.54, name,,,
balram,6,1.65, name,,,
balrog,6,1.17, name,,,
bals,4,1.3, noun,,,
balsa,5,2.3, noun,,,
balsall,7,2.19, name,,,
balsam,6,2.54, noun,,,
balsamic,8,3.32, adjective,,,
balsamico,9,1.17, noun,,,
balsamo,7,1.39, name,,,
balsawood,9,1.84, noun,,,
balsh,5,1.17, verb,,,
balshaw,7,1.47, name,,,
balsom,6,1.39, name,,,
balson,6,1.39, name,,,
balsum,6,1.47, noun,,,
balt,4,1.47, noun,,,
baltacha,8,2.42, name,,,
baltasar,8,1.74, name,,,
baltasound,10,1.54, name,,,
balthasar,9,1.97, name,,,
balthazar,9,2.47, name,,,
balti,5,2.56, noun,,,
baltic,6,3.31, name,,,
baltics,7,1.39, name,,,
baltimo,7,1.3, name,,,
baltimore,9,3.01, name,,,
baltis,6,1.39, noun,,,
baltistan,9,1.3, name,,,
balts,5,1.3, name,,,
balu,4,1.77, name,,,
baluchistan,11,1.47, name,,,
baluster,8,2.59, noun,,,
balusters,9,1.54, noun,,,
balustrade,10,2.55, noun,,,
balustrades,11,2.28, noun,,,
balustrading,12,1.54, noun,,,
balut,5,1.17, noun,,,
balwen,6,1.39, name,,,
balwens,7,1.65, name,,,
balzac,6,2.04, name,,,
balzaretti,10,1.9, name,,,
bam,3,3.7, noun,,,
bamako,6,2.25, name,,,
bamba,5,2.55, name,,,
bambaataa,9,1.95, name,,,
bambang,7,1.47, name,,,
bamber,6,2.68, name,,,
bamberg,7,1.39, name,,,
bamberger,9,1.3, name,,,
bambi,5,2.99, name,,,
bambina,7,1.65, name,,,
bambini,7,2.02, noun,,,
bambino,7,2.31, noun,,,
bambinos,8,1.84, noun,,,
bambocci,8,1.39, noun,,,
bamboo,6,3.65, noun,,,
bamboos,7,2.14, noun,,,
bambooz,7,1.39, noun,,,
bamboozle,9,2.34, verb,,,
bamboozled,10,2.51, verb,,,
bamboozler,10,1.17, noun,,,
bamboozling,11,1.93, verb,,,
bambridge,9,1.47, name,,,
bamburgh,8,2.57, name,,,
bamburi,7,1.3, name,,,
bambury,7,1.17, name,,,
bamford,7,2.45, name,,,
bamfords,8,2.45, name,,,
bamforth,8,2.08, name,,,
bami,4,1.17, unclassified,,,
bamiyan,7,2.16, name,,,
bamm,4,2.45, name,,,
bammer,6,1.17, name,,,
bamp,4,1.17, noun,,,
bampfylde,9,1.3, name,,,
bampot,6,1.84, noun,,,
bampots,7,1.17, verb,,,
bampton,7,2.21, name,,,
bampy,5,1.47, adjective,,,
bams,4,1.65, noun,,,
bamu,4,2.23, name,,,
bamy,4,1.17, adjective,,,
bamzooki,8,2.79, name,,,
ban,3,4.3, noun,,,
bana,4,2.21, name,,,
banahan,7,2.39, name,,,
banal,5,2.64, adjective,,,
banalities,10,1.47, noun,,,
banality,8,2.38, noun,,,
banalness,9,1.17, noun,,,
banana,6,4.21, noun,,,
bananahead,10,1.17, name,,,
bananaman,9,2.06, name,,,
bananarama,10,2.69, name,,,
bananas,7,4.02, noun,,,
banane,6,1.39, noun,,,
banarama,8,1.39, name,,,
banarjee,8,1.47, name,,,
banavie,7,1.3, name,,,
banaz,5,2.08, name,,,
banbridge,9,2.56, name,,,
banbury,7,2.84, name,,,
banc,4,1.39, name,,,
bance,5,1.39, name,,,
bancha,6,1.17, noun,,,
banchory,8,1.93, name,,,
banco,5,1.9, noun,,,
bancroft,8,2.56, name,,,
bancrofts,9,1.3, name,,,
bancy,5,1.17, noun,,,
band,4,4.94, noun,,,
banda,5,2.44, name,,,
bandage,7,3.22, noun,,,
bandaged,8,2.71, verb,,,
bandages,8,3.14, noun,,,
bandaging,9,2.14, verb,,,
bandaid,7,1.3, name,,,
bandana,7,2.49, noun,,,
bandanas,8,1.97, noun,,,
bandango,8,1.97, name,,,
bandanna,8,1.9, noun,,,
bandannas,9,1.74, noun,,,
bandar,6,2.4, name,,,
bandaranaike,12,1.47, name,,,
bandbox,7,1.74, name,,,
bande,5,1.39, noun,,,
bandeau,7,1.3, noun,,,
banded,6,3.19, verb,,,
bandeds,7,2.28, name,,,
banden,6,1.17, name,,,
bandera,7,1.3, unclassified,,,
banderas,8,2.44, name,,,
banderos,8,1.39, name,,,
bandersnatch,12,1.7, name,,,
bandes,6,1.17, unclassified,,,
bandh,5,1.17, noun,,,
bandhan,7,1.17, name,,,
bandhavgarh,11,1.17, name,,,
bandiagara,10,1.9, name,,,
bandicoot,9,2.21, noun,,,
bandidos,8,1.17, noun,,,
bandied,7,2.81, verb,,,
banding,7,2.99, noun,,,
bandings,8,1.7, noun,,,
bandit,6,3.21, name,,,
bandita,7,1.17, noun,,,
bandito,7,1.74, noun,,,
banditos,8,1.3, noun,,,
banditry,8,1.39, noun,,,
bandits,7,3.04, noun,,,
bandjaxed,9,1.17, adjective,,,
bandleader,10,2.08, noun,,,
bandleaders,11,1.3, noun,,,
bandmaster,10,1.54, noun,,,
bandmate,8,1.6, noun,,,
bandmates,9,1.9, noun,,,
bando,5,1.7, name,,,
bandolier,9,1.54, noun,,,
bandoliers,10,1.39, noun,,,
bandon,6,1.39, name,,,
bandoneon,9,1.6, noun,,,
bands,5,4.26, noun,,,
bandsaw,7,1.93, noun,,,
bandsman,8,2.04, noun,,,
bandsmen,8,1.77, noun,,,
bandstand,9,2.78, noun,,,
bandstands,10,1.74, noun,,,
bandulu,7,3.08, name,,,
bandung,7,1.3, name,,,
bandwagon,9,3.15, noun,,,
bandwagons,10,1.81, noun,,,
bandwidth,9,2.13, noun,,,
bandy,5,2.54, verb,,,
bandying,8,1.87, verb,,,
bane,4,3.17, name,,,
baned,5,1.17, verb,,,
banerjee,8,1.39, name,,,
banes,5,2.04, name,,,
banff,5,2.51, name,,,
banffshire,10,1.6, name,,,
banfield,8,2.02, name,,,
banford,7,1.65, name,,,
bang,4,4.62, noun,,,
banga,5,1.84, noun,,,
bangala,7,1.39, noun,,,
bangalore,9,2.71, name,,,
banged,6,3.56, verb,,,
banger,6,3.03, noun,,,
bangers,7,3.2, noun,,,
bangin,6,2.41, verb,,,
banging,7,3.95, verb,,,
bangings,8,1.17, noun,,,
bangkok,7,3.37, name,,,
bangla,6,1.54, name,,,
bangladesh,10,3.58, name,,,
bangladeshi,11,2.88, name,,,
bangladeshies,13,1.17, name,,,
bangladeshis,12,2.3, name,,,
bangladeshment,14,1.17, name,,,
bangle,6,2.88, noun,,,
bangles,7,2.8, noun,,,
bango,5,1.47, noun,,,
bangor,6,3.57, name,,,
bangra,6,1.17, noun,,,
bangs,5,3.47, verb,,,
bangura,7,1.95, name,,,
bangy,5,2.48, noun,,,
banh,4,1.74, name,,,
banham,6,1.97, name,,,
banhart,7,1.17, name,,,
bani,4,2.62, name,,,
banimpire,9,2.06, name,,,
banimuslim,10,1.39, name,,,
banish,6,3.06, verb,,,
banished,8,3.18, verb,,,
banishes,8,1.6, verb,,,
banishing,9,2.17, verb,,,
banishment,10,2.17, noun,,,
banister,8,2.86, noun,,,
banisters,9,2.65, noun,,,
baniyas,7,1.3, name,,,
banja,5,1.47, name,,,
banjaxed,8,1.81, verb,,,
banjo,5,3.31, noun,,,
banjoed,7,1.17, verb,,,
banjojo,7,2.21, noun,,,
banjolele,9,1.74, noun,,,
banjos,6,2.35, noun,,,
banjul,6,1.39, name,,,
bank,4,5.28, noun,,,
bankability,11,1.17, noun,,,
bankable,8,2.16, adjective,,,
bankcard,8,1.39, noun,,,
bankcards,9,1.39, noun,,,
banked,6,4.04, verb,,,
banker,6,3.73, noun,,,
bankers,7,4.12, noun,,,
bankes,6,1.7, name,,,
banket,6,1.17, name,,,
bankfoot,8,1.17, name,,,
bankhead,8,2, name,,,
bankheads,9,1.17, noun,,,
bankia,6,2.31, name,,,
bankier,7,1.81, name,,,
banking,7,4.45, noun,,,
bankings,8,1.7, noun,,,
banknote,8,2.51, noun,,,
banknotes,9,2.65, noun,,,
banko,5,1.39, name,,,
bankroll,8,2.43, verb,,,
bankrolled,10,2.38, verb,,,
bankrolling,11,2.32, verb,,,
bankrolls,9,1.84, verb,,,
bankrupt,8,3.65, adjective,,,
bankruptcies,12,2.21, noun,,,
bankruptcy,10,3.56, noun,,,
bankrupted,10,2.62, verb,,,
bankrupting,11,2.17, verb,,,
bankrupts,9,1.54, noun,,,
banks,5,4.85, noun,,,
banksia,7,1.65, name,,,
bankside,8,2.25, name,,,
banksman,8,1.3, noun,,,
banksmen,8,1.3, noun,,,
banksy,6,2.98, name,,,
banky,5,1.17, noun,,,
banlieue,8,1.47, name,,,
banlieues,9,1.47, noun,,,
bann,4,2.71, name,,,
banna,5,1.54, name,,,
bannal,6,1.3, adjective,,,
bannan,6,2.52, name,,,
bannantyne,10,1.47, name,,,
bannatyne,9,3.18, name,,,
bannatynes,10,1.3, name,,,
banned,6,4.25, verb,,,
banneds,7,1.3, noun,,,
bannenberg,10,1.74, name,,,
banner,6,3.54, noun,,,
bannerjee,9,1.17, name,,,
bannerman,9,2.77, name,,,
