Spelling, nchar, LogFreq_Zipf, DomPoS,,,
0, , , ,,,
0, , , ,,,
aaaaauuuugh,11,1.17, name,,,
aaaaaw,6,1.3, name,,,
aaaaggghhhh,11,1.3, name,,,
aaaaggh,7,1.17, noun,,,
aaaagghhh,9,1.17, name,,,
aaaagh,6,3.01, name,,,
aaaaghh,7,1.3, name,,,
aaaaghhh,8,1.6, name,,,
aaaah,5,3.51, noun,,,
aaaahh,6,1.84, name,,,
aaaahhh,7,2.21, name,,,
aaaahhhh,8,1.87, name,,,
aaaahhhhh,9,1.47, name,,,
aaaahhhhhh,10,1.3, name,,,
aaaahhhhhhhh,12,1.17, noun,,,
aaaaieee,8,1.3, noun,,,
aaaand,6,1.6, name,,,
aaaaow,6,1.47, name,,,
aaaar,5,1.39, name,,,
aaaargggh,9,1.3, name,,,
aaaargh,7,3.26, name,,,
aaaarrggh,9,1.3, name,,,
aaaarrgghh,10,1.3, name,,,
aaaarrgghhh,11,1.3, name,,,
aaaarrgh,8,1.7, name,,,
aaaarrghh,9,1.39, name,,,
aaaarrhh,8,1.17, name,,,
aaaarrrggghh,12,1.17, name,,,
aaaarrrggghhh,13,1.39, name,,,
aaaarrrgghh,11,1.17, name,,,
aaaarrrgh,9,1.39, name,,,
aaaarrrrggghhh,14,1.17, name,,,
aaaarrrrgh,10,1.6, name,,,
aaaarrrrr,9,1.17, name,,,
aaaaw,5,1.9, name,,,
aaaay,5,1.6, name,,,
aaachoo,7,1.3, noun,,,
aaachooo,8,1.3, name,,,
aaagggh,7,1.3, name,,,
aaaggghhh,9,1.3, name,,,
aaaggh,6,1.54, name,,,
aaagghh,7,1.6, name,,,
aaagghhh,8,1.17, name,,,
aaagh,5,3.32, name,,,
aaaghh,6,1.54, name,,,
aaaghhh,7,1.3, name,,,
aaah,4,3.87, noun,,,
aaahh,5,2.41, name,,,
aaahhh,6,2.36, name,,,
aaahhhh,7,1.65, name,,,
aaahhhhh,8,1.17, name,,,
aaahs,5,1.3, noun,,,
aaaiee,6,1.47, noun,,,
aaakaash,8,1.17, name,,,
aaand,5,1.17, verb,,,
aaaow,5,1.47, noun,,,
aaar,4,2.06, noun,,,
aaarggh,7,1.47, name,,,
aaargghhh,9,1.17, name,,,
aaargh,6,3.65, name,,,
aaarghh,7,1.77, name,,,
aaarghhh,8,1.7, name,,,
aaarghhhh,9,1.3, name,,,
aaarh,5,1.3, noun,,,
aaarrgghh,9,2.04, name,,,
aaarrgghhh,10,1.3, name,,,
aaarrgh,7,2.04, name,,,
aaarrghhh,9,1.65, name,,,
aaarrghhhh,10,1.17, name,,,
aaarrhhh,8,1.17, name,,,
aaarrr,6,1.17, name,,,
aaarrrggghhh,12,1.74, name,,,
aaarrrggghhhh,13,1.3, name,,,
aaarrrggh,9,1.17, name,,,
aaarrrgghhh,11,1.17, name,,,
aaarrrgh,8,1.74, name,,,
aaat,4,1.77, noun,,,
aaaw,4,2.26, name,,,
aaaww,5,1.3, name,,,
aaay,4,1.6, noun,,,
aab,3,1.7, name,,,
aabid,5,2.04, name,,,
aable,5,1.17, adjective,,,
aaccord,7,1.17, noun,,,
aaccording,10,1.17, verb,,,
aaccount,8,1.17, noun,,,
aachen,6,2.17, name,,,
aachoo,6,1.81, noun,,,
aacounts,8,1.3, noun,,,
aacross,7,1.17, adjective,,,
aad,3,1.39, noun,,,
aafa,4,1.17, name,,,
aafraid,7,1.17, noun,,,
aage,4,1.3, name,,,
aagggh,6,1.17, name,,,
aaggghh,7,1.17, noun,,,
aaggghhhh,9,1.17, name,,,
aaggh,5,1.77, name,,,
aagghh,6,1.74, name,,,
aagghhh,7,1.47, name,,,
aagh,4,3.31, name,,,
aaghh,5,1.54, name,,,
aaghhh,6,1.3, name,,,
aagree,6,1.39, name,,,
aah,3,4.26, noun,,,
aahead,6,1.3, noun,,,
aahed,5,1.39, verb,,,
aahh,4,2.55, name,,,
aahhh,5,2.32, name,,,
aahhhh,6,1.3, name,,,
aahing,6,1.47, noun,,,
aahs,4,1.74, noun,,,
aaib,4,1.17, name,,,
aaiee,5,1.17, noun,,,
aakaash,7,1.3, noun,,,
aal,3,1.77, adjective,,,
aalaykum,8,1.17, name,,,
aalborg,7,1.39, name,,,
aalesund,8,1.17, name,,,
aalesunds,9,1.17, name,,,
aaliya,6,2.95, name,,,
aaliyah,7,1.95, name,,,
aall,4,1.17, noun,,,
aalst,5,1.3, name,,,
aalways,7,1.3, noun,,,
aam,3,1.47, name,,,
aamazing,8,1.6, adjective,,,
aamer,5,1.65, name,,,
aami,4,1.17, name,,,
aamina,6,1.77, name,,,
aamir,5,2.25, name,,,
aamira,6,1.87, name,,,
aamong,6,1.3, preposition,,,
aan,3,1.74, noun,,,
aand,4,2, name,,,
aanholt,7,1.6, name,,,
aanother,8,1.17, adverb,,,
aaow,4,1.54, name,,,
aap,3,1.47, name,,,
aapart,6,1.17, preposition,,,
aapparently,11,1.47, adverb,,,
aappearance,11,1.17, noun,,,
aappreciation,13,1.17, noun,,,
aar,3,2.29, noun,,,
aarau,5,1.3, name,,,
aardman,7,2.47, name,,,
aardvark,8,2.74, name,,,
aardvarks,9,1.54, noun,,,
aardwolf,8,1.6, noun,,,
aare,4,1.39, name,,,
aarggh,6,1.74, name,,,
aargghh,7,1.47, name,,,
aargh,5,3.72, name,,,
aarghh,6,1.7, name,,,
aarghhh,7,1.6, name,,,
aarghhhhh,9,1.17, name,,,
aarh,4,1.17, name,,,
aarhus,6,1.39, name,,,
aarithmetic,11,1.47, adjective,,,
aarnio,6,1.17, name,,,
aaron,5,4, name,,,
aaronovitch,11,2.31, name,,,
aarons,6,1.74, name,,,
aarr,4,1.7, name,,,
aarrggghh,9,1.3, name,,,
aarrggghhh,10,1.17, name,,,
aarrggh,7,1.87, name,,,
aarrgghh,8,2.25, name,,,
aarrgghhh,9,1.17, name,,,
aarrgh,6,2.28, name,,,
aarrghh,7,1.39, name,,,
aarrhhh,7,1.3, name,,,
aarrr,5,1.39, name,,,
aarrrgghh,9,1.17, name,,,
aarrrgh,7,1.65, name,,,
aarrrrgh,8,1.39, name,,,
aart,4,1.17, noun,,,
aarti,5,1.54, name,,,
aarzoo,6,1.17, noun,,,
aas,3,1.87, name,,,
aashchhe,8,1.17, adjective,,,
aassembly,9,1.17, adverb,,,
aast,4,1.17, noun,,,
aastonishing,12,1.17, adjective,,,
aat,3,1.81, noun,,,
aatchoo,7,1.7, noun,,,
aau,3,3.18, name,,,
aaw,3,2.3, name,,,
aaware,6,1.17, noun,,,
aaww,4,1.3, name,,,
aawwee,6,1.3, name,,,
aawww,5,1.6, noun,,,
aay,3,1.87, noun,,,
ab,2,3.26, name,,,
ab15,4,1.17, name,,,
aba,3,2.67, name,,,
ababa,5,2.42, name,,,
abaca,5,1.39, noun,,,
abacab,6,1.17, name,,,
aback,5,3.16, adverb,,,
abacus,6,2.39, noun,,,
abacuses,8,1.65, noun,,,
abad,4,1.39, name,,,
abada,5,2.82, name,,,
abadaba,7,2.85, name,,,
abadas,6,3.33, name,,,
abade,5,1.17, adjective,,,
abadie,6,1.3, name,,,
abadoobeedee,12,1.39, noun,,,
abadooby,8,1.17, name,,,
abagnale,8,1.17, name,,,
abaht,5,1.54, adjective,,,
abakumova,9,1.39, name,,,
abalone,7,2.65, noun,,,
abam,4,1.17, verb,,,
aban,4,1.47, adjective,,,
abanazar,8,2.09, name,,,
aband,5,1.17, verb,,,
abandening,10,1.17, verb,,,
abandoman,9,2.3, name,,,
abandon,7,3.8, verb,,,
abandoned,9,4.23, verb,,,
abandoner,9,1.17, noun,,,
abandoning,10,3.26, verb,,,
abandonment,11,2.85, noun,,,
abandonments,12,1.6, noun,,,
abandons,8,2.55, verb,,,
abang,5,1.17, noun,,,
abar,4,1.3, noun,,,
abare,5,1.17, adjective,,,
abarino,7,1.17, name,,,
abarth,6,1.97, name,,,
abas,4,1.47, name,,,
abase,5,1.3, verb,,,
abasement,9,1.3, noun,,,
abashed,7,1.39, adjective,,,
abasi,5,1.54, name,,,
abass,5,1.39, name,,,
abassi,6,1.17, name,,,
abastos,7,1.17, name,,,
abatan,6,2.11, name,,,
abate,5,2.49, verb,,,
abated,6,2.33, verb,,,
abatement,9,2.76, noun,,,
abates,6,1.3, verb,,,
abating,7,2.52, verb,,,
abattoir,8,3.1, noun,,,
abattoirs,9,2.44, noun,,,
abatu,5,1.39, unclassified,,,
abay,4,1.17, verb,,,
abaya,5,1.7, noun,,,
abb,3,1.74, name,,,
abba,4,3.37, name,,,
abbado,6,1.47, name,,,
abbagnato,9,1.17, name,,,
abballe,7,1.17, noun,,,
abban,5,1.39, name,,,
abbas,5,3.11, name,,,
abbasi,6,1.54, name,,,
abbasid,7,1.47, name,,,
abbate,6,1.54, name,,,
abbaye,6,1.47, name,,,
abbe,4,2.02, name,,,
abbella,7,1.6, noun,,,
abberley,8,1.54, name,,,
abberline,9,1.54, name,,,
abbess,6,2.17, name,,,
abbesses,8,1.17, noun,,,
abbeville,9,1.9, name,,,
abbey,5,4.27, name,,,
abbeydale,9,1.6, name,,,
abbeyfield,10,1.47, name,,,
abbeyleix,9,1.3, name,,,
abbeys,6,2.58, noun,,,
abbeystead,10,1.17, name,,,
abbeywood,9,1.81, name,,,
abbi,4,2.34, name,,,
abbiamo,7,2, noun,,,
abbie,5,3.26, name,,,
abbot,5,3.2, name,,,
abbots,6,2.46, name,,,
abbotsbury,10,2.3, name,,,
abbotsford,10,2.45, name,,,
abbott,6,3.43, name,,,
abbottabad,10,2.54, name,,,
abbottbury,10,1.17, name,,,
abbotts,7,2.06, name,,,
abbottsbury,11,1.17, adjective,,,
abbreviate,10,2.13, verb,,,
abbreviated,11,3.05, adjective,,,
abbreviates,11,1.3, verb,,,
abbreviating,12,1.47, verb,,,
abbreviation,12,3.52, noun,,,
abbreviations,13,2.66, noun,,,
abbs,4,1.95, name,,,
abby,4,3.53, name,,,
abc,3,3.17, name,,,
abc1,4,1.3, name,,,
abcd,4,1.3, name,,,
abclassic,9,1.17, verb,,,
abcs,4,2.21, noun,,,
abd,3,2.16, name,,,
abdalla,7,1.54, name,,,
abdallah,8,1.87, name,,,
abdaly,6,2.26, name,,,
abdel,5,3.01, name,,,
abdelbaset,10,2.7, name,,,
abdelbasset,11,2.13, name,,,
abdelkader,10,1.17, name,,,
abdellatif,10,1.17, name,,,
abderite,8,1.54, name,,,
abderites,9,1.17, name,,,
abdi,4,2.11, name,,,
abdicate,8,2.37, verb,,,
abdicated,9,2.47, verb,,,
abdicates,9,1.39, verb,,,
abdicating,10,2.02, verb,,,
abdication,10,2.59, noun,,,
abdin,5,1.77, name,,,
abdirahman,10,1.77, name,,,
abdisaster,10,1.17, verb,,,
abdiweli,8,1.17, name,,,
abdo,4,2.73, noun,,,
abdomen,7,3.44, noun,,,
abdomens,8,1.93, noun,,,
abdominal,9,3.22, adjective,,,
abdominals,10,1.74, noun,,,
abdominoplasty,14,1.17, adjective,,,
abdon,5,1.17, name,,,
abdoulaye,9,1.17, name,,,
abdu,4,1.3, name,,,
abduct,6,2.44, verb,,,
abducted,8,3.27, noun,,,
abducting,9,2.35, verb,,,
abduction,9,3.15, noun,,,
abductions,10,2.32, noun,,,
abductor,8,1.84, noun,,,
abductors,9,2.08, noun,,,
abducts,7,1.7, verb,,,
abdul,5,3.27, name,,,
abdulaziz,9,1.54, name,,,
abdulhadi,9,1.54, name,,,
abdulla,7,1.74, name,,,
abdullah,8,3.13, name,,,
abdullahi,9,2.16, name,,,
abdulmagid,10,1.39, name,,,
abdulmutallab,13,2.8, name,,,
abdulwahab,10,2.09, name,,,
abdur,5,1.6, name,,,
abe,3,2.68, name,,,
abeam,5,1.47, verb,,,
abebe,5,1.39, name,,,
abecause,8,1.6, noun,,,
abed,4,2.2, name,,,
abedin,6,1.74, name,,,
abeen,5,1.3, adjective,,,
abeer,5,1.17, noun,,,
abegging,8,1.17, verb,,,
abel,4,2.95, name,,,
abelard,7,2.28, name,,,
abell,5,1.77, name,,,
abellio,7,1.87, name,,,
abelson,7,1.17, name,,,
aben,4,1.3, noun,,,
abend,5,2.29, name,,,
aber,4,2.38, name,,,
aberaeron,9,2.2, name,,,
aberafan,8,1.17, name,,,
aberaman,8,1.17, name,,,
aberarth,8,1.3, name,,,
aberavon,8,2.21, name,,,
aberbach,8,1.17, name,,,
aberbargoed,11,1.3, name,,,
aberbeeg,8,1.17, name,,,
abercarn,8,1.47, name,,,
abercastle,10,1.54, name,,,
abercegir,9,1.17, name,,,
aberconway,10,1.74, name,,,
aberconwy,9,2.31, name,,,
abercorn,8,1.9, name,,,
abercrave,9,1.3, name,,,
abercrombie,11,2.26, name,,,
abercynon,9,1.77, name,,,
aberdare,8,2.76, name,,,
aberdaron,9,2.11, name,,,
aberdeen,8,4.15, name,,,
aberdeens,9,1.3, name,,,
aberdeenshire,13,3.35, name,,,
aberdonian,10,2.21, adjective,,,
aberdonians,11,1.54, name,,,
aberdour,8,1.47, name,,,
aberdovey,9,1.95, name,,,
aberdulais,10,1.39, name,,,
abereiddi,9,1.17, name,,,
abereiddy,9,1.47, name,,,
aberfan,7,2.38, name,,,
aberfeldy,9,2.13, name,,,
aberffraw,9,1.77, name,,,
aberfoyle,9,1.9, name,,,
abergavenny,11,2.94, name,,,
abergele,8,1.97, name,,,
aberglaslyn,11,1.47, name,,,
aberglasney,11,1.9, name,,,
abergwyngregyn,14,1.47, name,,,
abergynolwyn,12,1.81, name,,,
aberkenfig,10,1.6, name,,,
aberlady,8,1.7, name,,,
aberlour,8,1.54, name,,,
abermawr,8,1.39, name,,,
abernathy,9,1.39, name,,,
abernethy,9,2.04, name,,,
aberpergwm,10,1.39, name,,,
aberporth,9,1.77, name,,,
aberrant,8,1.39, adjective,,,
aberration,10,2.55, noun,,,
aberrations,11,1.87, noun,,,
abersoch,8,1.95, name,,,
abertawe,8,1.6, name,,,
abertay,7,2.08, name,,,
aberteifi,9,1.17, name,,,
aberthaw,8,1.47, name,,,
abertillery,11,2.16, name,,,
abertridwr,10,1.3, name,,,
aberu,5,1.3, name,,,
abervale,8,1.17, name,,,
aberystwyth,11,3.4, name,,,
abet,4,1.54, verb,,,
abetted,7,2.29, verb,,,
abetting,8,2.44, verb,,,
abeyance,8,1.87, noun,,,
abeylegesse,11,2.51, name,,,
abfab,5,1.3, name,,,
abg,3,1.97, noun,,,
abging,6,1.3, verb,,,
abgkue,6,1.17, adjective,,,
abgood,6,1.39, verb,,,
abh,3,2.59, name,,,
abhaile,7,1.17, adjective,,,
abhainn,7,1.3, name,,,
abhinaya,8,1.17, noun,,,
abhisit,7,1.74, name,,,
abhor,5,2.39, verb,,,
abhorance,9,1.17, noun,,,
abhoration,10,1.17, noun,,,
abhorence,9,1.17, noun,,,
abhorred,8,1.84, adjective,,,
abhorrence,10,2.16, noun,,,
abhorrent,9,2.79, adjective,,,
abhorring,9,1.17, verb,,,
abhors,6,2.16, verb,,,
abhra,5,2.14, name,,,
abi,3,3.93, name,,,
abib,4,2.26, name,,,
abichaker,9,1.17, name,,,
